Section;G [kg/m];h [mm];b [mm];tw [mm];tf [mm];r [mm];hi [mm];d [mm];A [cm2];AL [m2/m];AG [ m2/t];Iy [cm4 ];Wel.y [cm3];Wpl.y [cm3];iy [cm];Avz [cm2];Iz [cm4 ];Wel.z [cm3];Wpl.z [cm3]; iz [cm];Ss [cm];It [cm4 ];Iw [10^3 cm6]
IPE O 300;49.3;304.0;152.0;8.0;12.7;15;278.6;248.6;62.8;1.174;23.8;9994;657.5;743.8;12.6;29.04;745.7;98.12;152.5;3.4;5;30.97;157.6
IPE A 360;50.2;357.6;170.0;6.6;11.5;18;334.6;298.6;64.0;1.351;26.91;14510;811.8;906.7;15;29.76;944.2;111;171.8;3.8;5;27.36;281.9
IPE AA 400;53.4;395.6;180.0;6.3;11.3;21;373.0;331.0;68.0;1.463;27.42;19000;960.5;1069;16.7;32.74;1102;122.4;189.7;4;5.3;30.53;405.5
IPE O 330;57.0;334.0;162.0;8.5;13.5;18;307.0;271.0;72.6;1.268;22.24;13910;832.9;942.7;13.8;34.88;960.3;118.5;184.9;3.6;5.6;42.2;245.6
IPE 360;57.1;360.0;170.0;8.0;12.7;18;334.6;298.6;72.7;1.353;23.7;16260;903.6;1019;14.9;35.13;1043;122.7;191;3.7;5.4;37.44;313.5
IPE A 400;57.4;397.0;180.0;7.0;12.0;21;373.0;331.0;73.1;1.464;25.51;20290;1022;1143;16.6;35.77;1170;130;202;4;5.5;36.16;432.2
IPE AA 450;62.1;445.4;190.0;6.8;12.3;21;420.8;378.8;79.1;1.601;25.77;27740;1246;1391;18.7;38.4;1410;148.4;229.9;4.2;5.6;39.16;659.3
IPE O 360;66.0;364.0;172.0;9.2;14.7;18;334.6;298.6;84.1;1.367;20.7;19040;1046;1186;15;40.2;1251;145.4;226.9;3.8;5.9;55.74;380.2
IPE 400;66.3;400.0;180.0;8.6;13.5;21;373.0;331.0;84.5;1.467;22.13;23120;1156;1307;16.5;42.69;1317;146.4;229;3.9;6;51.27;490
IPE A 450;67.2;447.0;190.0;7.6;13.1;21;420.8;378.8;85.6;1.603;23.87;29750;1331;1494;18.6;42.26;1502;158.1;245.7;4.1;5.8;47.13;704.8
IPE AA 500;73.2;495.2;200.0;7.5;13.6;21;468.0;426.0;93.3;1.739;23.75;39940;1613;1807;20.6;45.61;1818;181.8;281.7;4.4;5.9;52.86;1051
IPE O 400;75.7;404.0;182.0;9.7;15.5;21;373.0;331.0;96.4;1.481;19.57;26740;1324;1502;16.6;47.98;1564;171.8;269;4;6.5;73.34;587.6
IPE 450;77.6;450.0;190.0;9.4;14.6;21;420.8;378.8;98.8;1.605;20.69;33740;1499;1701;18.4;50.84;1675;176.4;276.3;4.1;6.3;66.74;791
IPE A 500;79.4;497.0;200.0;8.4;14.5;21;468.0;426.0;101.1;1.741;21.94;42930;1727;1946;20.6;50.4;1939;193.9;301.6;4.3;6.2;64.28;1125
IPE AA 550;79.5;541.0;210.0;8.5;12.5;24;515.6;467.6;101.3;1.864;23.44;49550;1831;2078;22.1;55.86;1937;184.5;289.6;4.3;6.1;56.18;1347
IPE V 400;84.0;408.0;182.0;10.6;17.5;21;373.0;331.0;107.0;1.487;17.7;30130;1477;1681;16.7;52.52;1766;194.1;304;4;7;99.58;670.3
IPE 500;90.7;500.0;200.0;10.2;16.0;21;468.0;426.0;115.5;1.744;19.23;48190;1927;2194;20.4;59.87;2141;214.1;335.8;4.3;6.6;89.09;1249
IPE A 550;92.1;547.0;210.0;9.0;15.7;24;515.6;467.6;117.3;1.875;20.36;59970;2193;2474;22.6;60.29;2432;231.6;361.5;4.5;6.8;89.29;1710
IPE O 450;92.4;456.0;192.0;11.0;17.6;21;420.8;378.8;117.7;1.622;17.56;40920;1794;2046;18.6;59.4;2085;217.2;340.9;4.2;7;108.9;997.5
